title,company,description,link
Front End Engineer,PLACE,"PLACE is an end-to-end technology and business services platform designed to simplify the real estate lifecycle for both consumers and their real estate agents. Top producing real estate teams partner with PLACE because we take care of bookkeeping, human resources, in-house legal, design and marketing, talent acquisition, business training and coaching. Consumers choose real estate teams Powered by PLACE because our partners are positioned to deliver a better experience to their valued clients.BRANDco leads the industry in providing branding products and services for small businesses. Our mission is to help small businesses succeed!We are seeking a highly skilled and motivated Front End Engineer to join our team at BRANDco. As a Front End Engineer, you will play a pivotal role in developing and maintaining our web and mobile applications using React, JavaScript, PHP, and other modern front-end technologies. You will work closely with our talented team of designers, developers, and product managers to deliver exceptional user experiences and drive innovation.Responsibilities:Develop and maintain user-friendly and responsive interfaces for web and mobile applications.Collaborate with designers and product managers to understand requirements and translate them into technical specifications.Write clean, maintainable, and efficient code using Vue, JavaScript, PHP, laravel, and other relevant technologies.Optimize application performance and ensure cross-browser and cross-device compatibility.Conduct code reviews to ensure adherence to best practices and coding standards.Stay up-to-date with industry trends and emerging technologies, and propose innovative solutions to improve our applications.Collaborate with backend engineers to integrate front-end components with server-side logic.Participate in agile development processes, including sprint planning, daily stand-ups, and retrospectives.Qualifications:Bachelor's degree in Computer Science, Engineering, or a related field.Minimum of 3 years of professional experience in front-end development.Strong proficiency in Vue, JavaScript, PHP, HTML, CSS, and related frameworks and libraries.Experience developing web and mobile applications using responsive design techniques.Solid understanding of web standards, cross-browser compatibility, and accessibility best practices.Familiarity with version control systems, such as Git.Strong problem-solving skills and the ability to work effectively in a fast-paced, collaborative environment.Excellent communication and interpersonal skills.Employees and their qualified dependents are offered the following benefits:Medical Health Savings AccountDental Vision Additionally they are eligible to enroll in the following voluntary benefits:Short Term DisabilityAccidental and Illness InsuranceLife InsuranceEmployees are also enrolled in Long Term Disability Insurance and eligible to enroll in the company's 401k program.Employees are offered the following:Vacation Time as Needed10 Sick Day9 paid holidays and 2 paid floating holidays3 days of Bereavement LeaveTime off for Voting and Jury DutyEmployee Assistance ProgramEmployees are eligible to participate in the company's yearly Stock Purchase Program.Salary: $75,000-$90,000 DOE and locationWe are an equal opportunity employer and value diversity. All employment is decided on the basis of qualifications, merit and business need. We are committed to creating an inclusive environment for all employees.
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/front-end-engineer-at-place-4068292731?position=1&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=Qx4Xs9CKqZSgmtu2NJdpEQ%3D%3D
Jr. Web Developer,Kavaliro,"Job DescriptionKavaliro’s client is seeking a motivated Junior Web Developer to join their team in Orlando, FL. This role is ideal for a candidate with foundational web development experience looking to enhance their skills in front-end and full-stack development. The Junior Web Developer will be responsible for designing, developing, and maintaining web pages and applications that meet business requirements and enhance user experience.Key ResponsibilitiesDevelop, design, and maintain web pages using HTML, JavaScript, CSS, and Photoshop. Implement front-end designs using leading JavaScript frameworks, including Angular, jQuery, React, and others. Collaborate with designers and back-end developers to create responsive and visually appealing user interfaces. Ensure cross-browser compatibility and optimize performance for various devices. Assist in debugging and troubleshooting web applications. Participate in team meetings, code reviews, and development planning sessions. Stay updated with emerging technologies and industry best practices. Qualifications & SkillsBachelor’s degree preferred in Computer Science, Information Technology, or a related field (or equivalent experience in lieu of degree). 1+ years of experience in web development (professional or project-based work accepted). Hands-on experience in HTML, JavaScript, CSS, and Photoshop. Familiarity with front-end frameworks such as Angular, jQuery, and React. Full-stack development experience preferred. Strong problem-solving skills and attention to detail. Ability to work both independently and collaboratively in a team environment. Excellent communication skills and a willingness to learn.Kavaliro provides Equal Employment Opportunities to all employees and applicants. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. Kavaliro is committed to the full inclusion of all qualified individuals. In keeping with our commitment, Kavaliro will take the steps to assure that people with disabilities are provided reasonable accommodations. Accordingly, if reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the position, and/or to receive all other benefits and privileges of employment, please respond to this posting to connect with a company representative.Job RequirementsHybrid
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/jr-web-developer-at-kavaliro-4149215670?position=2&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=7MwYyxevGCBeynl8A9L53Q%3D%3D
Frontend Developer,DataAnnotation,"DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Frontend Developer to join our team to train our AI chatbots to code. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.To apply to this role, you will need to be proficient in either Python and/or JavaScript. Your role will require proficiency in at least one programming language (JavaScript, Python, C#, C++, HTML, SQL, or Swift) in order to solve coding problems (think LeetCode, HackerRank, etc). For each coding problem, you must be able to explain how your solution solves the problem.Benefits:This is a full-time or part-time REMOTE positionYou’ll be able to choose which projects you want to work onYou can work on your own scheduleProjects are paid hourly, starting at $40+ USD per hour, with bonuses for high-quality and high-volume workResponsibilities:Come up with diverse problems and solutions for a coding chatbotWrite high-quality answers and code snippetsEvaluate code quality produced by AI models for correctness and performanceQualifications:Fluency in English (native or bilingual level)Proficient in either Python and/or JavaScriptExcellent writing and grammar skillsA bachelor's degree (completed or in progress)Previous experience as a Software Developer, Coder, Software Engineer, or ProgrammerNote: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time.



        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/frontend-developer-at-dataannotation-4127855394?position=3&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=0Ow16FyLWrvyOcVkDcBYLQ%3D%3D
Web Developer,nFocus Solutions®,"Role SummaryWe are looking for a mid-level Web Developer to design, create, and maintain web applications. The ideal candidate has experience with C#, CSS, HTML, and Visual Basic. This role will troubleshoot issues and optimize codes for performance.What You’ll DoTest and validate updates to system and third-party tools across portal servers.Interface with Portal leadership and Security team for maintenance requirements, changes, outages, and posted content.System administration and monitoring for alerts, logging (checked daily), metrics, and user management.Update the configuration and content of the database as required.Support content management from UnITE team to post on the portal, event images, graphic designs, logo, and other approved content.Support for future portal development and upgrades.Documentation of portal management and test procedures. What We'd Like You to Have2-5 years of relevant experience. Experience with C#, Visual Basic, HTML, CSSExperience ensuring that websites function correctly on different web browsers.Experience solving complex technical problems and debugging code issues. Secret clearanceMust be a U.S. Citizen About nFocus SolutionsnFocus Solutions is dedicated to the development of innovative technologies and intelligent business solutions for the public sector. We are a leading provider of applications, services, and technologies that nonprofit organizations, communities, first responders and government agencies rely on to deliver services to the public at large. Our high-quality data management and analysis software enables our clients to achieve clear, well-defined results that change the world.At nFocus Solutions, we are committed to a diverse and inclusive workforce. We believe that great minds think differently. We value diversity of backgrounds, beliefs, and interests, and we recognize diversity as an important source of innovation. nFocus Solutions is an equal opportunity employer and does not discriminate based on race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.Powered by JazzHRAcJHpg4QgL



        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/web-developer-at-nfocus-solutions%C2%AE-4098754817?position=4&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=n89ABw%2FJkqkEWOUcuaGkuw%3D%3D
Sr Frontend Engineer,YO IT Group,"Experience: 8 - 14 YearsLocation: USA - Bay area, LA, NY, Orlando, Seattle, locals to NJMandatory RequirementMinimum 5 years experience required - Strong React, NextJS and Page and component building experienceJob Description: React & Next.js DeveloperWe are looking for a highly skilled React & Next.js Developer with expertise in building pages and components for modern web applications.Key ResponsibilitiesDevelop and optimize React.js and Next.js applications.Build reusable components and pages with a strong focus on performance and scalability.Work closely with designers and backend teams to ensure seamless integration.Implement server-side rendering (SSR) and static site generation (SSG) in Next.js.Ensure responsiveness and cross-browser compatibility of applications.Optimize applications for maximum speed and scalability.Troubleshoot and debug issues efficiently.Required SkillsStrong proficiency in React.js and Next.js.Hands-on experience in building pages and reusable components.Knowledge of JavaScript (ES6+), TypeScript (preferred), and modern UI frameworks.Experience with API integration (REST/GraphQL).Familiarity with CSS-in-JS, Tailwind, or Styled Components.Understanding of performance optimization, SSR, and SSG in Next.js.Experience with Git version control and CI/CD pipelines.Nice To HaveExperience with state management libraries (Redux, Zustand, or Recoil).Knowledge of backend development (Node.js, Express, or Firebase).Familiarity with headless CMS and static site generators.Skills: ci/cd,performance optimization,react.js,server-side rendering (ssr),static site generation (ssg),api integration (rest/graphql),typescript,javascript (es6+),ci/cd pipelines,component building,next.js,git,pages,css-in-js,tailwind,building,components,git version control,react,nextjs,styled components
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/sr-frontend-engineer-at-yo-it-group-4175132619?position=5&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=248f2TKWdhmfOfbLsBTSCQ%3D%3D
Web Developer Intermediate IT AHU,AdventHealth,"All the benefits and perks you need for you and your family:Benefits from Day OnePaid Days Off from Day OneCareer Development Whole Person Wellbeing ResourcesMental Health Resources and SupportOur Promise To YouJoining AdventHealth is about being part of something bigger. It’s about belonging to a community that believes in the wholeness of each person, and serves to uplift others in body, mind and spirit. AdventHealth is a place where you can thrive professionally, and grow spiritually, by Extending the Healing Ministry of Christ. Where you will be valued for who you are and the unique experiences you bring to our purpose-minded team. All while understanding that together we are even better.Schedule: Full Time / Shift:Days (Mon thru Thurs. 8a.m. to 4:30p.m. & Fri 8a.m. to 3p.m.)Location: 660 WINYAH DR, Orlando, 32803The Community You’ll Be Caring ForOur mission is to provide an environment where students can develop spiritually, intellectually, socially, and physically while pursuing professional expertise integrated with Christian valuesTop Reasons to work at AdventHealth University OrlandoAdventHealth University, a Seventh-day Adventist institution, specializes in the education of professionals in healthcare. The University seeks to develop leaders who will practice healthcare as a ministry. At AdventHealth University (AHU), our primary customers are students, faculty, and staff. Our partners are physicians, allied health clinicians and other employees of AdventHealth.The Role You’ll ContributeUnder minimal levels of supervision, the Software Developer (Web) applies practical knowledge of development to create and enhance web-based applications of moderate complexity. Actively participates in outstanding customer service and accepts responsibility in maintaining relationships that are equally respectful to all.The Value You’ll Bring To The TeamManages development activities through the entire software development life cycle. Recommends improvements to processes and technology that improve the effectiveness of the team. Analyzes requirements and create specification. Analyzes current software functionality, project requirements to understand scope of work, and impact of future design decisions. Reads, comprehends, and creates technical specifications and technical documentation. Under the guidance of senior development team members, designs changes and enhancements to software, in line with agreed patterns, standards and framework, prior to making any changes.Liaises with customers and vendors through the software development lifecycle to resolve software challenges, as requiredCreates user and support documentation.QualificationsWhat Will You NeedEDUCATION AND EXPERIENCE REQUIRED:Associate’s degree in a field of study such as Computer Science, Information Technology, or related field, OR a minimum of three years of relevant IT work experience1-year experience in software developmentExperience logically comprehending technical and/or functional manuals and instructionsTroubleshooting issue resolution experienceExperience working with development environments and toolsets, including database queries, data types, flat files, data mapping, programming structures, and programming logic, to solve computing problems of low to moderate complexityExperience of at least one web-based core language used by the organization: PHP, ColdFusion, or comparable languageExperience of Web Development using HTML, CSS, jQuery, PHP, and/or a CMS framework (ex. Drupal, SharePoint)Knowledge And Skills RequiredKnowledge of Relational Databases (SQL Server, Mysql, or comparable)This facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances. The salary range reflects the anticipated base pay range for this position. Individual compensation is determined based on skills, experience and other relevant factors within this pay range. The minimums and maximums for each position may vary based on geographical location.
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/web-developer-intermediate-it-ahu-at-adventhealth-4173859979?position=6&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=kDA1im5DDPmXMInflPjVxw%3D%3D
Sr React.js NextJS Engineer,YO IT Group,"Sr Frontend EngineerExperience: 8 - 14 YearsLocation: USA - Bay area, LA, NY, Orlando, Seattle, locals to NJMandatory RequirementMinimum 5 years experience required - Strong React, NextJS and Page and component building experienceJob Description: React & Next.js DeveloperWe are looking for a highly skilled React & Next.js Developer with expertise in building pages and components for modern web applications.Key ResponsibilitiesDevelop and optimize React.js and Next.js applications.Build reusable components and pages with a strong focus on performance and scalability.Work closely with designers and backend teams to ensure seamless integration.Implement server-side rendering (SSR) and static site generation (SSG) in Next.js.Ensure responsiveness and cross-browser compatibility of applications.Optimize applications for maximum speed and scalability.Troubleshoot and debug issues efficiently.Required SkillsStrong proficiency in React.js and Next.js.Hands-on experience in building pages and reusable components.Knowledge of JavaScript (ES6+), TypeScript (preferred), and modern UI frameworks.Experience with API integration (REST/GraphQL).Familiarity with CSS-in-JS, Tailwind, or Styled Components.Understanding of performance optimization, SSR, and SSG in Next.js.Experience with Git version control and CI/CD pipelines.Nice To HaveExperience with state management libraries (Redux, Zustand, or Recoil).Knowledge of backend development (Node.js, Express, or Firebase).Familiarity with headless CMS and static site generators.Skills: performance optimization,building,typescript,pages,javascript (es6+),git version control,component building,tailwind,react.js,react,styled components,ci/cd pipelines,static site generation (ssg),ci/cd,css-in-js,git,components,nextjs,server-side rendering (ssr),api integration (rest/graphql),next.js
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/sr-react-js-nextjs-engineer-at-yo-it-group-4175134402?position=7&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=mQYnABCiKA%2FVwH7EKHZZzA%3D%3D
FullStack JS developer,ALTEN,"Looking for a high-level FullStack JS developer with experience working on complex and demanding applications and high attention to detail capable of delivering production-ready code interested in joining a fast-growing FinTech startup in the Real Estate space.The developer must be fluent in SQL (No Exceptions) and have a strong understanding of async/await and stream-based development.The candidate will be required to lead a small team, manage infrastructure and handle deployments.Requirements: Linux (Must be proficient) Node/TypeScript Angular 6+ SQL (MySQL or Postgres) GitOther Libs/Tools: Nginx PM2Any additional programming or real estate experience is a plus. Extra points for: phpNote: If you are not fluent in SQL or Typescript this is absolutely not for you.Job Types: Full-time, Contract
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/fullstack-js-developer-at-alten-4147109023?position=8&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=dJz9clsQpKmgcfdG%2BXtxDQ%3D%3D
Lead Front End Engineer,Andor Health,"Title: Lead Front End Engineer Location: Orlando In-Office PositionReports To: VP, Development FLSA Status: ExemptPosition DescriptionThe Lead Front End Engineer drives the development of scalable, high-performance web applications while mentoring and leading the frontend team. S/he requires a strong technical leader who can enforce best practices, optimize user experiences, and ensure high-quality code.The incumbent architects front end solutions, enhances application performance, and ensures new features are properly planned, documented, and delivered efficiently. Moreover, this individual collaborates with designers, backend engineers, and product managers to build innovative, user-friendly applications that align with Andor’s vision.Position Responsibilities Provide technical leadership, conduct code reviews, and mentor engineers in React, TypeScript, and JavaScript best practices. Proactively monitor progress, remove roadblocks, and offer technical support to keep the team on track with sprint goals. Design and maintain a modular, reusable, and scalable front-end architecture using React and TypeScript. Work with product managers, UX designers, and backend engineers to define, scope, and document feature implementations. Enforce high coding standards, including TypeScript best practices, component-driven development, and clean code principles. Implement and optimize state management, ensuring scalability, maintainability, and performance. Lead the performance optimization of frontend applications, ensuring fast load times and efficient rendering strategies. Guide the team through complex technical decisions, ensuring smooth project execution. Develop responsive, dynamic UI components that adapt to configurations and user preferences. Maintain a strong focus on frontend security best practices and accessibility compliance.Basic Qualifications 6+ years of professional experience in front end development with a strong focus on React.js Proficiency in JavaScript, TypeScript, HTML, and CSS. Strong experience with modern state management libraries Expertise in building scalable, component-driven UI architectures. Solid experience with frontend performance optimization and data-driven UI rendering. Ability to manage multiple projects and deadlines efficiently in an Agile environment. Strong problem-solving skills, with expertise in debugging and optimizing React-based applications. Proven collaboration skills, working effectively with cross-functional teams (designers, product managers, backend engineers). Excellent written and verbal communication skills, particularly for technical documentation and mentorship. Passion for continuous learning, keeping up with modern frontend trends, frameworks, and best practices. Experience working in fast-paced software environments with aggressive delivery timelines.Preferred Qualifications Enterprise-level web and mobile application development experience, particularly in complex UI architectures. Experience designing solutions for enterprise platforms or applications with scalability and high availability. Experience with WebSockets for real-time, bidirectional communication in web applications Strong understanding of WebRTC, including peer-to-peer connections, media streaming, and signaling protocols. Experience with WebRTC APIs for handling audio/video streams and data channels. Experience in Telehealth or healthcare-related web applications is a plus. Experience building dynamic UI components that adapt to configurations. High energy, enthusiasm, and a growth mindset to drive technical innovation. Strong written and verbal communication skills to interact with stakeholders and technical teams.The preceding functions may not be comprehensive in scope regarding work performed by an employee assigned to this position classification. Management reserves the right to add, modify, change, or rescind the work assignments of this position. Management also reserves the right to make reasonable accommodations so that a qualified employee(s) can perform the essential functions of the position.At Andor Health, our greatest strength comes from bringing together talented people with diverse perspectives to support the technological needs of physicians, hospitals, and post-acute organizations across the globe. Andor Health offers a comprehensive compensation and benefits package, including holidays, vacation, medical, dental, and vision insurance, company paid life insurance and retirement savings.Andor Health's policy is to provide equal employment opportunity and affirmative action in all of its employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation, or gender identity or expression or any other legally protected category. Applicants for North American based positions with Andor Health must be legally authorized to work in the United States or Canada. Verification of employment eligibility will be required as a condition of hire.EOE Minorities/Females/Individuals with Disabilities/Protected VeteransDrug Free WorkplacePowered by ExactHire: 162608
        


        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/lead-front-end-engineer-at-andor-health-4153990796?position=9&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=KxoXjvoZrSj0wjNE4amqAw%3D%3D
UX/UI Front End Developer - Business Intelligence,"GLOTECH, Inc.","GLOTECH, Inc., founded in 1995, is a privately and minority-owned company serving military, federal and commercial clients. We are a successful Information Technology firm with a large staff currently providing superior information technology and advanced engineering services around the world. Our success is built on attracting and retaining quality staff through a highly competitive benefits package with a special focus on continuing career development and corporate financial support. We also maintain a collegial working environment and offer our staff opportunities to improve and enhance their skills.GLOTECH is committed to a comprehensive employee benefits program that helps our employees stay healthy, feel secure and maintain a work/life balance. We provide medical dental and vision care, disability insurance (short and long term), Life & AD&D Insurance, Flexible Spending Accounts (Healthcare, Dependent Care and Commuter Transportation and Parking Reimbursement), and Employee Assistance Programs. Additionally, we provide Annual Leave, Sick Leave, Holiday Pay, Educational Assistance, Certification /Training Reimbursement, and a 401(k)-retirement savings contribution plan (with employer match).ResponsibilitiesGLOTECH, Inc. is seeking an experienced UI/UX Designer – Business Intelligence Applications to support the corporate office of United Parks & Resorts located in Orlando, FL. This position will be responsible for the visual design and technical implementation of user interfaces for Business Intelligence and Analytics Applications. They specialize in creating clean and intuitive user interfaces and writing efficient, standards-compliant code to build them. They also provide production support to key stakeholders, drivi ng the digital experience throughout the organization. Establish business intelligence and enterprise reporting style guide to ensure consistency and standardization of reporting across the enterprise  Develop prototypes and wireframes for new reporting modules and widgets across business intelligence platforms and embedded business intelligence applications  Converts designs into CSS, HTML, and JavaScript for webpages  Participate in design, development, and delivery of new UI components  Be a key contributor in all phases of UI/UX design, including requirements gathering, product design, development, testing, delivery, and support  Evolve existing user interfaces to increase interactivity, intuitiveness, and other functional aspects of applications  Provide technical advice and assistance in terms of technical troubleshooting and resolving significant issues to root cause and, if necessary, take the lead role in resolving an issue  Be passionate about all things UX and other areas of design and innovation. Research and showcase knowledge in the industry’s latest trends and technologies.  Must be available to work onsite in Orlando, FL Qualifications Required Competencies  Must be able to write standards-compliant HTML, CSS, and JavaScript on projects based on prototypes, designs, and functional documentation  Must be able to work effectively in a team setting including synthesizing abstract ideas into concrete design implications  Must work closely with the team to understand project needs and learn new development technologies  Must be able to collaborate with stakeholders, business analysts, application developers and Architect to ensure seamless integration of components; performs effectively as a member of the application development team  Must have experience working in a deadline-driven environment, handling and prioritizing multiple tasks  Must have solid understanding of design best practices for business intelligence and analytics use cases – across desktop, mobile, and tablet devices  Must be available for site troubleshooting and defect resolution on an ongoing basis  Must maintain graphic standards and branding throughout all areas of work  Must have effective organizational skills, demonstrated by ability to set priorities, coordinate multiple projects simultaneously, and be attentive to details Required Technical Skills Must have at least 3 years of UX design experience  Must have experience using Adobe Creative Suite, especially Adobe Photoshop, Illustrator, and XD  Must have experience writing JavaScript, jQuery, HTML5, CSS3  Must have experience with designing large, enterprise-scale websites and applications  Must have thorough knowledge of best practices in user interface and user experience methodologies  Must have strong command of web standards, mobile-first responsive design, and cross-browser compatibility Preferred Technical Skills Experience using preprocessors (SASS, LESS) highly preferred  Working knowledge of content management systems  Experience writing XAML markup and UWP app development a plus  GLOTECH, Inc. is an Equal Opportunity/Affirmative Action Employer - Minorities/Females/Protected Veterans/Individuals with Disabilities.



        
            Show more
          

          



        
            Show less",https://www.linkedin.com/jobs/view/ux-ui-front-end-developer-business-intelligence-at-glotech-inc-3838770845?position=10&pageNum=0&refId=X1hMktHlZThwttsj1lZ5Wg%3D%3D&trackingId=g%2FbEpyES4YgIILxTdVpiBA%3D%3D
